ID,Entry Name,Gene,Pfam
Q06323,PSME1_HUMAN,PSME1,PF02252;PF02251;
Q06330,SUH_HUMAN,RBPJ,PF09270;PF09271;PF20144;
Q06413,MEF2C_HUMAN,MEF2C,PF12347;PF00319;
Q06416,P5F1B_HUMAN,POU5F1B,PF00046;PF00157;
Q06418,TYRO3_HUMAN,TYRO3,PF00041;PF07679;PF07714;
Q06432,CCG1_HUMAN,CACNG1,PF13903;
Q06455,MTG8_HUMAN,RUNX1T1,PF08788;PF07531;PF01753;
Q06481,APLP2_HUMAN,APLP2,PF10515;PF12924;PF12925;PF02177;PF00014;
Q06495,NPT2A_HUMAN,SLC34A1,PF02690;
Q06520,ST2A1_HUMAN,SULT2A1,PF00685;
Q06546,GABPA_HUMAN,GABPA,PF00178;PF11620;PF02198;
Q06547,GABP1_HUMAN,GABPB1,PF12796;
Q06587,RING1_HUMAN,RING1,PF16207;PF13923;
Q06609,RAD51_HUMAN,RAD51,PF14520;PF08423;
Q06643,TNFC_HUMAN,LTB,PF00229;
Q06710,PAX8_HUMAN,PAX8,PF00292;PF12403;
Q06730,ZN33A_HUMAN,ZNF33A,PF01352;PF00096;
Q06787,FMR1_HUMAN,FMR1,PF05641;PF16098;PF12235;PF00013;PF17904;PF18336;
Q06828,FMOD_HUMAN,FMOD,PF00560;PF13516;PF13855;PF01462;
Q06830,PRDX1_HUMAN,PRDX1,PF10417;PF00578;
Q06889,EGR3_HUMAN,EGR3,PF11928;PF00096;
Q06945,SOX4_HUMAN,SOX4,PF00505;
Q07001,ACHD_HUMAN,CHRND,PF02931;PF02932;
Q07002,CDK18_HUMAN,CDK18,PF00069;
Q07011,TNR9_HUMAN,TNFRSF9,PF00020;
Q07020,RL18_HUMAN,RPL18,PF17135;
Q07021,C1QBP_HUMAN,C1QBP,PF02330;
Q07065,CKAP4_HUMAN,CKAP4,null
Q07075,AMPE_HUMAN,ENPEP,PF11838;PF01433;PF17900;
Q07092,COGA1_HUMAN,COL16A1,PF01391;
Q07108,CD69_HUMAN,CD69,PF00059;
Q07157,ZO1_HUMAN,TJP1,PF00625;PF00595;PF07653;PF00791;
Q07283,TRHY_HUMAN,TCHH,PF01023;
Q07325,CXCL9_HUMAN,CXCL9,PF00048;
Q07326,PIGF_HUMAN,PIGF,PF06699;
Q07343,PDE4B_HUMAN,PDE4B,PF18100;PF00233;
Q07352,TISB_HUMAN,ZFP36L1,PF04553;PF00642;
Q07444,NKG2E_HUMAN,KLRC3,PF00059;
Q07617,SPAG1_HUMAN,SPAG1,PF13877;PF00515;PF13181;
Q07627,KRA11_HUMAN,KRTAP1-1,PF01500;
Q07654,TFF3_HUMAN,TFF3,PF00088;
Q07666,KHDR1_HUMAN,KHDRBS1,PF00013;PF16274;PF16568;
Q07687,DLX2_HUMAN,DLX2,PF12413;PF00046;
Q07699,SCN1B_HUMAN,SCN1B,PF07686;
Q07812,BAX_HUMAN,BAX,PF00452;
Q07817,B2CL1_HUMAN,BCL2L1,PF00452;PF02180;
Q07820,MCL1_HUMAN,MCL1,PF00452;
Q07837,SLC31_HUMAN,SLC3A1,PF00128;
Q07864,DPOE1_HUMAN,POLE,PF03104;PF08490;PF22634;PF22912;
Q07866,KLC1_HUMAN,KLC1,PF13374;PF13424;
Q07869,PPARA_HUMAN,PPARA,PF00104;PF00105;
Q07889,SOS1_HUMAN,SOS1,PF00617;PF00618;PF00621;PF22697;
Q07890,SOS2_HUMAN,SOS2,PF00617;PF00618;PF00621;PF22697;
Q07912,ACK1_HUMAN,TNK2,PF09027;PF11555;PF07714;PF14604;PF22931;
Q07954,LRP1_HUMAN,LRP1,PF12662;PF16472;PF07645;PF14670;PF00057;PF00058;
Q07955,SRSF1_HUMAN,SRSF1,PF00076;
Q07960,RHG01_HUMAN,ARHGAP1,PF13716;PF00620;
Q07973,CP24A_HUMAN,CYP24A1,PF00067;
Q08043,ACTN3_HUMAN,ACTN3,PF00307;PF08726;PF00435;
Q08050,FOXM1_HUMAN,FOXM1,PF00250;
Q08116,RGS1_HUMAN,RGS1,PF00615;
Q08117,TLE5_HUMAN,TLE5,PF03920;
Q08170,SRSF4_HUMAN,SRSF4,PF00076;
Q08174,PCDH1_HUMAN,PCDH1,PF00028;PF08266;PF08374;
Q08188,TGM3_HUMAN,TGM3,PF00927;PF01841;PF00868;
Q08209,PP2BA_HUMAN,PPP3CA,PF00149;
Q08211,DHX9_HUMAN,DHX9,PF00270;PF00035;PF21010;PF04408;PF00271;PF07717;
Q08257,QOR_HUMAN,CRYZ,PF08240;PF00107;
Q08289,CACB2_HUMAN,CACNB2,PF00625;PF12052;
Q08334,I10R2_HUMAN,IL10RB,PF09294;PF01108;
Q08345,DDR1_HUMAN,DDR1,PF21114;PF00754;PF07714;
Q08357,S20A2_HUMAN,SLC20A2,PF01384;
Q08378,GOGA3_HUMAN,GOLGA3,null
Q08379,GOGA2_HUMAN,GOLGA2,PF19046;PF15070;
Q08380,LG3BP_HUMAN,LGALS3BP,PF07707;PF00530;
Q08397,LOXL1_HUMAN,LOXL1,PF01186;
Q08426,ECHP_HUMAN,EHHADH,PF00725;PF02737;PF00378;
Q08431,MFGM_HUMAN,MFGE8,PF00008;PF00754;
Q08462,ADCY2_HUMAN,ADCY2,PF16214;PF06327;PF00211;
Q08477,CP4F3_HUMAN,CYP4F3,PF00067;
Q08493,PDE4C_HUMAN,PDE4C,PF18100;PF00233;
Q08495,DEMA_HUMAN,DMTN,PF16182;PF02209;
Q08499,PDE4D_HUMAN,PDE4D,PF18100;PF00233;
Q08554,DSC1_HUMAN,DSC1,PF00028;PF08758;
Q08623,HDHD1_HUMAN,PUDP,PF13419;
Q08629,TICN1_HUMAN,SPOCK1,PF07648;PF10591;PF00086;
Q08648,SG11B_HUMAN,SPAG11B,PF05324;
Q08708,CLM6_HUMAN,CD300C,PF07686;
Q08722,CD47_HUMAN,CD47,PF04549;PF08204;
Q08752,PPID_HUMAN,PPID,PF00160;
Q08828,ADCY1_HUMAN,ADCY1,PF16214;PF00211;
Q08830,FGL1_HUMAN,FGL1,PF00147;
Q08881,ITK_HUMAN,ITK,PF00779;PF00169;PF07714;PF00017;PF00018;
Q08945,SSRP1_HUMAN,SSRP1,PF00505;PF21103;PF17292;PF08512;PF03531;PF21092;
Q08999,RBL2_HUMAN,RBL2,PF11934;PF01858;PF01857;
Q08AD1,CAMP2_HUMAN,CAMSAP2,PF17095;PF11971;PF08683;
Q08AE8,SPIR1_HUMAN,SPIRE1,PF16474;
Q08AG5,ZN844_HUMAN,ZNF844,PF01352;PF00096;PF13912;
Q08AG7,MZT1_HUMAN,MZT1,PF12554;
Q08AH1,ACSM1_HUMAN,ACSM1,PF00501;PF13193;
Q08AH3,ACS2A_HUMAN,ACSM2A,PF00501;PF13193;
Q08AM6,VAC14_HUMAN,VAC14,PF12755;PF11916;
Q08ET2,SIG14_HUMAN,SIGLEC14,PF08205;PF13895;PF07686;
Q08J23,NSUN2_HUMAN,NSUN2,PF01189;
Q09013,DMPK_HUMAN,DMPK,PF08826;PF00069;
Q09019,DMWD_HUMAN,DMWD,PF00400;
Q09028,RBBP4_HUMAN,RBBP4,PF12265;PF00400;
Q09161,NCBP1_HUMAN,NCBP1,PF02854;PF09088;PF09090;
Q09327,MGAT3_HUMAN,MGAT3,PF04724;
Q09328,MGT5A_HUMAN,MGAT5,PF15027;PF15024;
Q09428,ABCC8_HUMAN,ABCC8,PF00664;PF00005;
Q09470,KCNA1_HUMAN,KCNA1,PF02214;PF00520;
Q09472,EP300_HUMAN,EP300,PF00439;PF09030;PF08214;PF02172;PF06001;PF02135;PF00569;
Q09666,AHNK_HUMAN,AHNAK,null
Q09FC8,ZN415_HUMAN,ZNF415,PF00096;
Q0D2H9,GOG8D_HUMAN,GOLGA8DP,PF19046;PF15070;
Q0D2I5,IFFO1_HUMAN,IFFO1,null
Q0D2K0,NIPA4_HUMAN,NIPAL4,PF05653;
Q0D2K3,RIPP1_HUMAN,RIPPLY1,PF14998;
Q0GE19,NTCP7_HUMAN,SLC10A7,PF13593;
Q0IIM8,TBC8B_HUMAN,TBC1D8B,PF02893;PF00566;
Q0JRZ9,FCHO2_HUMAN,FCHO2,PF22699;PF10291;
Q0P5N6,ARL16_HUMAN,ARL16,PF00025;
Q0PNE2,ELP6_HUMAN,ELP6,PF09807;
Q0VAK6,LMOD3_HUMAN,LMOD3,PF03250;
Q0VAM2,RGF1B_HUMAN,RASGEF1B,PF00617;PF00618;
Q0VAQ4,SMAGP_HUMAN,SMAGP,null
Q0VD83,APOBR_HUMAN,APOBR,null
Q0VD86,INCA1_HUMAN,INCA1,PF15142;
Q0VDD7,BRME1_HUMAN,BRME1,PF15710;
Q0VDD8,DYH14_HUMAN,DNAH14,PF12774;PF12775;PF12780;PF12781;PF17852;PF18199;PF12777;
Q0VDF9,HSP7E_HUMAN,HSPA14,PF00012;
Q0VF96,CGNL1_HUMAN,CGNL1,PF01576;
Q0VG06,FP100_HUMAN,FAAP100,PF15146;
Q0VG99,MESP2_HUMAN,MESP2,PF00010;
Q0VGL1,LTOR4_HUMAN,LAMTOR4,null
Q0WX57,U17LO_HUMAN,USP17L24; USP17L25; USP17L26; USP17L27; USP17L28; USP17L29; USP17L30,PF04774;PF00443;
Q0ZGT2,NEXN_HUMAN,NEXN,PF07679;
Q0ZLH3,PJVK_HUMAN,PJVK,PF04598;
Q10469,MGAT2_HUMAN,MGAT2,PF05060;
Q10471,GALT2_HUMAN,GALNT2,PF00535;PF00652;
Q10472,GALT1_HUMAN,GALNT1,PF00535;PF00652;
Q10567,AP1B1_HUMAN,AP1B1,PF01602;PF02883;PF09066;
Q10570,CPSF1_HUMAN,CPSF1,PF03178;PF10433;
Q10571,MN1_HUMAN,MN1,null
Q10586,DBP_HUMAN,DBP,PF07716;
Q10587,TEF_HUMAN,TEF,PF07716;
Q10588,BST1_HUMAN,BST1,PF02267;
Q10589,BST2_HUMAN,BST2,PF16716;
Q10713,MPPA_HUMAN,PMPCA,PF00675;PF05193;
Q10981,FUT2_HUMAN,FUT2,PF01531;
Q11128,FUT5_HUMAN,FUT5,PF17039;PF00852;
Q11130,FUT7_HUMAN,FUT7,PF17039;PF00852;
Q11201,SIA4A_HUMAN,ST3GAL1,PF00777;
Q11203,SIAT6_HUMAN,ST3GAL3,PF00777;
Q11206,SIA4C_HUMAN,ST3GAL4,PF00777;
Q12756,KIF1A_HUMAN,KIF1A,PF12473;PF00498;PF12423;PF00225;PF16183;PF00169;
Q12765,SCRN1_HUMAN,SCRN1,PF03577;
Q12767,TMM94_HUMAN,TMEM94,null
Q12768,WASC5_HUMAN,WASHC5,PF10266;
Q12769,NU160_HUMAN,NUP160,PF11715;
Q12770,SCAP_HUMAN,SCAP,PF12349;PF00400;
Q12772,SRBP2_HUMAN,SREBF2,PF00010;
Q12774,ARHG5_HUMAN,ARHGEF5,PF15441;PF00169;PF00621;PF00018;
Q12778,FOXO1_HUMAN,FOXO1,PF00250;PF16676;PF16675;
Q12788,TBL3_HUMAN,TBL3,PF08625;PF00400;
Q12789,TF3C1_HUMAN,GTF3C1,PF04182;
Q12791,KCMA1_HUMAN,KCNMA1,PF03493;PF00520;PF22614;PF21014;
Q12792,TWF1_HUMAN,TWF1,PF00241;
Q12794,HYAL1_HUMAN,HYAL1,PF01630;
Q12797,ASPH_HUMAN,ASPH,PF05279;PF05118;PF13432;
Q12798,CETN1_HUMAN,CETN1,PF13499;
Q12800,TFCP2_HUMAN,TFCP2,PF04516;PF18016;
Q12802,AKP13_HUMAN,AKAP13,PF17838;PF00621;PF10522;
Q12805,FBLN3_HUMAN,EFEMP1,PF12662;PF07645;PF22914;
Q12809,KCNH2_HUMAN,KCNH2,PF00027;PF00520;PF13426;
Q12815,TROAP_HUMAN,TROAP,null
Q12816,TROP_HUMAN,TRO,PF01454;
Q12824,SNF5_HUMAN,SMARCB1,PF21459;PF04855;
Q12830,BPTF_HUMAN,BPTF,PF00439;PF02791;PF00628;PF15613;
Q12834,CDC20_HUMAN,CDC20,PF12894;PF00400;
Q12836,ZP4_HUMAN,ZP4,PF00088;PF00100;PF22821;
Q12837,PO4F2_HUMAN,POU4F2,PF00046;PF00157;
Q12840,KIF5A_HUMAN,KIF5A,PF00225;
Q12841,FSTL1_HUMAN,FSTL1,PF09289;PF07648;
Q12846,STX4_HUMAN,STX4,PF05739;PF00804;
Q12849,GRSF1_HUMAN,GRSF1,PF00076;
Q12851,M4K2_HUMAN,MAP4K2,PF00780;PF00069;
Q12852,M3K12_HUMAN,MAP3K12,PF07714;
Q12857,NFIA_HUMAN,NFIA,PF00859;PF03165;PF10524;
Q12860,CNTN1_HUMAN,CNTN1,PF00041;PF07679;PF00047;PF13927;
Q12864,CAD17_HUMAN,CDH17,PF00028;
Q12866,MERTK_HUMAN,MERTK,PF00041;PF00047;PF13927;PF07714;
Q12870,TCF15_HUMAN,TCF15,PF00010;
Q12872,SFSWA_HUMAN,SFSWAP,PF09750;PF01805;
Q12873,CHD3_HUMAN,CHD3,PF08074;PF06461;PF08073;PF00385;PF06465;PF00271;PF00628;PF00176;
Q12874,SF3A3_HUMAN,SF3A3,PF13297;PF16837;PF12108;PF11931;
Q12879,NMDE1_HUMAN,GRIN2A,PF01094;PF00060;PF10613;PF10565;
Q12882,DPYD_HUMAN,DPYD,PF01180;PF14691;PF14697;PF07992;
Q12884,SEPR_HUMAN,FAP,PF00930;PF00326;
Q12887,COX10_HUMAN,COX10,PF01040;
Q12888,TP53B_HUMAN,TP53BP1,PF09038;PF18428;
Q12889,OVGP1_HUMAN,OVGP1,PF00704;
Q12891,HYAL2_HUMAN,HYAL2,PF01630;
Q12893,TM115_HUMAN,TMEM115,PF08551;
Q12894,IFRD2_HUMAN,IFRD2,PF05004;PF04836;
Q12899,TRI26_HUMAN,TRIM26,PF13765;PF00622;PF00643;PF15227;
Q12904,AIMP1_HUMAN,AIMP1,PF01588;
Q12905,ILF2_HUMAN,ILF2,PF20965;PF07528;
Q12906,ILF3_HUMAN,ILF3,PF00035;PF20965;PF07528;
Q12907,LMAN2_HUMAN,LMAN2,PF03388;
Q12908,NTCP2_HUMAN,SLC10A2,PF01758;
Q12912,IRAG2_HUMAN,IRAG2,PF05781;
Q12913,PTPRJ_HUMAN,PTPRJ,PF00041;PF18861;PF00102;
Q12918,KLRB1_HUMAN,KLRB1,PF00059;
Q12923,PTN13_HUMAN,PTPN13,PF09380;PF00373;PF09379;PF00595;PF16599;PF00102;
Q12929,EPS8_HUMAN,EPS8,PF22975;PF08416;PF18016;PF00018;
Q12931,TRAP1_HUMAN,TRAP1,PF13589;PF00183;
Q12933,TRAF2_HUMAN,TRAF2,PF21355;PF21341;PF16673;PF00097;PF02176;
Q12934,BFSP1_HUMAN,BFSP1,PF00038;
Q12946,FOXF1_HUMAN,FOXF1,PF00250;
Q12947,FOXF2_HUMAN,FOXF2,PF00250;
Q12948,FOXC1_HUMAN,FOXC1,PF00250;
Q12951,FOXI1_HUMAN,FOXI1,PF00250;
Q12952,FOXL1_HUMAN,FOXL1,PF00250;
Q12955,ANK3_HUMAN,ANK3,PF00023;PF12796;PF13637;PF00531;PF17809;PF00791;
Q12959,DLG1_HUMAN,DLG1,PF00625;PF09058;PF10608;PF00595;PF10600;PF00018;
Q12962,TAF10_HUMAN,TAF10,PF03540;
Q12965,MYO1E_HUMAN,MYO1E,PF00063;PF06017;PF00018;
Q12967,GNDS_HUMAN,RALGDS,PF00788;PF00617;PF00618;
Q12968,NFAC3_HUMAN,NFATC3,PF16179;PF00554;
Q12972,PP1R8_HUMAN,PPP1R8,PF00498;
Q12974,TP4A2_HUMAN,PTP4A2,PF00102;
Q12979,ABR_HUMAN,ABR,PF00168;PF19057;PF00620;PF00621;
Q12980,NPRL3_HUMAN,NPRL3,PF03666;
Q12981,SEC20_HUMAN,BNIP1,PF03908;
Q12982,BNIP2_HUMAN,BNIP2,PF12496;PF13716;
Q12983,BNIP3_HUMAN,BNIP3,PF06553;
Q12986,NFX1_HUMAN,NFX1,PF01424;PF01422;
Q12996,CSTF3_HUMAN,CSTF3,PF05843;
Q13002,GRIK2_HUMAN,GRIK2,PF01094;PF00060;PF10613;
Q13003,GRIK3_HUMAN,GRIK3,PF01094;PF00060;PF10613;
Q13007,IL24_HUMAN,IL24,null
Q13009,TIAM1_HUMAN,TIAM1,PF00595;PF00169;PF23014;PF02196;PF00621;PF18385;
Q13011,ECH1_HUMAN,ECH1,PF00378;
Q13015,AF1Q_HUMAN,MLLT11,PF15017;
Q13017,RHG05_HUMAN,ARHGAP5,PF01846;PF00620;PF16512;PF19518;
Q13018,PLA2R_HUMAN,PLA2R1,PF00040;PF00059;
Q13021,MALL_HUMAN,MALL,PF01284;
Q13023,AKAP6_HUMAN,AKAP6,PF00435;
Q13029,PRDM2_HUMAN,PRDM2,PF21549;PF00096;PF13912;
Q13033,STRN3_HUMAN,STRN3,PF08232;PF00400;
Q13042,CDC16_HUMAN,CDC16,PF12895;PF13424;
Q13043,STK4_HUMAN,STK4,PF11629;PF00069;
Q13045,FLII_HUMAN,FLII,PF00626;PF00560;PF12799;PF13855;
Q13049,TRI32_HUMAN,TRIM32,PF01436;PF13445;
Q13057,COASY_HUMAN,COASY,PF01121;PF01467;
Q13061,TRDN_HUMAN,TRDN,PF05279;
Q13064,MKRN3_HUMAN,MKRN3,PF15815;PF00097;PF14608;PF18044;
Q13075,BIRC1_HUMAN,NAIP,PF00653;PF05729;PF22524;PF17889;
Q13077,TRAF1_HUMAN,TRAF1,PF21355;PF16673;
Q13084,RM28_HUMAN,MRPL28,PF00830;
Q13085,ACACA_HUMAN,ACACA,PF08326;PF21385;PF02785;PF00289;PF00364;PF01039;PF02786;
Q13087,PDIA2_HUMAN,PDIA2,PF00085;PF13848;
Q13093,PAFA_HUMAN,PLA2G7,PF03403;
Q13094,LCP2_HUMAN,LCP2,PF07647;PF00017;
Q13098,CSN1_HUMAN,GPS1,PF21151;PF01399;PF10602;
Q13099,IFT88_HUMAN,IFT88,PF13424;PF13432;PF13174;PF13181;
Q13105,ZBT17_HUMAN,ZBTB17,PF00651;PF00096;PF13894;
Q13107,UBP4_HUMAN,USP4,PF06337;PF14836;PF00443;
Q13111,CAF1A_HUMAN,CHAF1A,PF11600;PF15539;PF15557;PF12253;
Q13112,CAF1B_HUMAN,CHAF1B,PF15512;PF00400;
Q13113,PDZ1I_HUMAN,PDZK1IP1,PF15807;
Q13114,TRAF3_HUMAN,TRAF3,PF21355;PF21363;PF02176;
Q13115,DUS4_HUMAN,DUSP4,PF00782;PF00581;
Q13117,DAZ2_HUMAN,DAZ2,PF18872;PF00076;
Q13118,KLF10_HUMAN,KLF10,PF00096;
Q13123,RED_HUMAN,IK,PF07807;PF07808;
Q13126,MTAP_HUMAN,MTAP,PF01048;
Q13127,REST_HUMAN,REST,PF00096;
Q13129,RLF_HUMAN,RLF,PF00096;
Q13131,AAPK1_HUMAN,PRKAA1,PF16579;PF21147;PF00069;
Q13133,NR1H3_HUMAN,NR1H3,PF00104;PF00105;
Q13136,LIPA1_HUMAN,PPFIA1,PF00536;PF07647;
Q13137,CACO2_HUMAN,CALCOCO2,PF17751;
Q13144,EI2BE_HUMAN,EIF2B5,PF02020;
Q13145,BAMBI_HUMAN,BAMBI,PF06211;PF19337;
Q13148,TADBP_HUMAN,TARDBP,PF00076;PF20910;PF18694;
Q13151,ROA0_HUMAN,HNRNPA0,PF00076;
Q13153,PAK1_HUMAN,PAK1,PF00786;PF00069;
Q13155,AIMP2_HUMAN,AIMP2,PF16780;PF00043;PF18569;
Q13156,RFA4_HUMAN,RPA4,PF08784;
Q13158,FADD_HUMAN,FADD,PF00531;PF01335;
Q13162,PRDX4_HUMAN,PRDX4,PF10417;PF00578;
Q13163,MP2K5_HUMAN,MAP2K5,PF00564;PF00069;
Q13164,MK07_HUMAN,MAPK7,PF00069;
Q13177,PAK2_HUMAN,PAK2,PF00786;PF00069;
Q13183,S13A2_HUMAN,SLC13A2,PF00939;
Q13185,CBX3_HUMAN,CBX3,PF00385;PF01393;
Q13188,STK3_HUMAN,STK3,PF11629;PF00069;
Q13190,STX5_HUMAN,STX5,PF05739;PF11416;
Q13191,CBLB_HUMAN,CBLB,PF02262;PF02761;PF02762;PF00097;
Q13200,PSMD2_HUMAN,PSMD2,PF01851;PF18051;PF17781;
Q13201,MMRN1_HUMAN,MMRN1,PF00386;PF00008;PF07546;
Q13202,DUS8_HUMAN,DUSP8,PF00782;PF00581;
Q13206,DDX10_HUMAN,DDX10,PF00270;PF13959;PF00271;
Q13207,TBX2_HUMAN,TBX2,PF00907;PF20627;PF12598;
Q13214,SEM3B_HUMAN,SEMA3B,PF00047;PF01403;
Q13216,ERCC8_HUMAN,ERCC8,PF00400;
Q13217,DNJC3_HUMAN,DNAJC3,PF00226;PF00515;PF13432;PF14559;PF13181;
Q13219,PAPP1_HUMAN,PAPPA,PF13385;PF05572;PF00084;
Q13224,NMDE2_HUMAN,GRIN2B,PF01094;PF00060;PF10613;PF10565;
Q13227,GPS2_HUMAN,GPS2,PF15991;
Q13228,SBP1_HUMAN,SELENBP1,PF05694;
Q13231,CHIT1_HUMAN,CHIT1,PF01607;PF00704;
Q13232,NDK3_HUMAN,NME3,PF00334;
Q13233,M3K1_HUMAN,MAP3K1,PF21040;PF00069;PF04434;
Q13237,KGP2_HUMAN,PRKG2,PF00027;PF00069;
Q13239,SLAP1_HUMAN,SLA,PF00017;PF00018;
Q13241,KLRD1_HUMAN,KLRD1,PF00059;
Q13242,SRSF9_HUMAN,SRSF9,PF00076;
Q13243,SRSF5_HUMAN,SRSF5,PF00076;
Q13247,SRSF6_HUMAN,SRSF6,PF00076;
Q13253,NOGG_HUMAN,NOG,PF05806;
Q13255,GRM1_HUMAN,GRM1,PF00003;PF01094;PF10606;PF07562;
Q13257,MD2L1_HUMAN,MAD2L1,PF02301;
Q13258,PD2R_HUMAN,PTGDR,PF00001;
Q13261,I15RA_HUMAN,IL15RA,null
Q13263,TIF1B_HUMAN,TRIM28,PF00628;PF00643;PF14634;
Q13268,DHRS2_HUMAN,DHRS2,PF13561;
Q13275,SEM3F_HUMAN,SEMA3F,PF01403;
Q13277,STX3_HUMAN,STX3,PF05739;PF00804;
Q13283,G3BP1_HUMAN,G3BP1,PF02136;PF00076;
Q13285,STF1_HUMAN,NR5A1,PF00104;PF00105;
Q13286,CLN3_HUMAN,CLN3,PF02487;
Q13287,NMI_HUMAN,NMI,PF07334;PF07292;
Q13291,SLAF1_HUMAN,SLAMF1,PF06214;
Q13303,KCAB2_HUMAN,KCNAB2,PF00248;
Q13304,GPR17_HUMAN,GPR17,PF00001;
Q13308,PTK7_HUMAN,PTK7,PF07679;PF13927;PF07714;
Q13309,SKP2_HUMAN,SKP2,PF12937;
Q13310,PABP4_HUMAN,PABPC4,PF00658;PF00076;
Q13315,ATM_HUMAN,ATM,PF02259;PF02260;PF00454;PF11640;
Q13316,DMP1_HUMAN,DMP1,PF07263;
Q13319,CD5R2_HUMAN,CDK5R2,PF03261;
Q13322,GRB10_HUMAN,GRB10,PF08947;PF00169;PF21989;PF00017;
Q13323,BIK_HUMAN,BIK,PF12201;
Q13324,CRFR2_HUMAN,CRHR2,PF00002;PF02793;
Q13325,IFIT5_HUMAN,IFIT5,PF13374;PF13424;PF07719;PF13181;
Q13326,SGCG_HUMAN,SGCG,PF04790;
Q13330,MTA1_HUMAN,MTA1,PF01426;PF01448;PF00320;PF17226;PF00249;
Q13332,PTPRS_HUMAN,PTPRS,PF00041;PF07679;PF13927;PF00102;
Q13336,UT1_HUMAN,SLC14A1,PF03253;
Q13342,SP140_HUMAN,SP140,PF00439;PF03172;PF00628;PF01342;
Q13347,EIF3I_HUMAN,EIF3I,PF12894;PF00400;
Q13349,ITAD_HUMAN,ITGAD,PF01839;PF08441;PF20805;PF00357;PF21520;PF00092;
Q13351,KLF1_HUMAN,KLF1,PF16832;PF16833;PF00096;
Q13352,CENPR_HUMAN,ITGB3BP,PF06729;
Q13356,PPIL2_HUMAN,PPIL2,PF00160;
Q13360,ZN177_HUMAN,ZNF177,PF01352;PF00096;PF13912;PF13465;
Q13361,MFAP5_HUMAN,MFAP5,PF05507;
Q13362,2A5G_HUMAN,PPP2R5C,PF01603;
Q13363,CTBP1_HUMAN,CTBP1,PF00389;PF02826;
Q13367,AP3B2_HUMAN,AP3B2,PF01602;PF14796;
Q13368,MPP3_HUMAN,MPP3,PF00625;PF02828;PF00595;PF07653;
Q13370,PDE3B_HUMAN,PDE3B,PF00233;
Q13371,PHLP_HUMAN,PDCL,PF02114;
Q13387,JIP2_HUMAN,MAPK8IP2,PF00640;PF14604;
Q13393,PLD1_HUMAN,PLD1,PF00169;PF00614;PF13091;PF00787;
Q13394,MB211_HUMAN,MAB21L1,PF03281;PF20266;
Q13395,TARB1_HUMAN,TARBP1,PF00588;
Q13402,MYO7A_HUMAN,MYO7A,PF21998;PF00373;PF00612;PF02174;PF00063;PF00784;PF21989;
Q13404,UB2V1_HUMAN,UBE2V1,PF00179;
Q13405,RM49_HUMAN,MRPL49,PF05046;
Q13409,DC1I2_HUMAN,DYNC1I2,PF11540;PF00400;
Q13410,BT1A1_HUMAN,BTN1A1,PF22705;PF13765;PF00622;PF07686;
Q13415,ORC1_HUMAN,ORC1,PF00004;PF17872;PF01426;PF09079;
Q13416,ORC2_HUMAN,ORC2,PF04084;
Q13418,ILK_HUMAN,ILK,PF12796;PF07714;
Q13421,MSLN_HUMAN,MSLN,PF06060;
Q13422,IKZF1_HUMAN,IKZF1,PF00096;
Q13423,NNTM_HUMAN,NNT,PF01262;PF05222;PF02233;PF12769;
Q13424,SNTA1_HUMAN,SNTA1,PF00595;PF00169;PF18012;PF23012;
Q13425,SNTB2_HUMAN,SNTB2,PF00595;PF00169;PF18012;PF23012;
Q13426,XRCC4_HUMAN,XRCC4,PF06632;PF21925;PF21924;
Q13427,PPIG_HUMAN,PPIG,PF00160;
Q13428,TCOF_HUMAN,TCOF1,PF03546;
Q13432,U119A_HUMAN,UNC119,PF05351;
Q13433,S39A6_HUMAN,SLC39A6,PF02535;
Q13435,SF3B2_HUMAN,SF3B2,PF04037;PF04046;PF02037;
Q13438,OS9_HUMAN,OS9,PF07915;
Q13439,GOGA4_HUMAN,GOLGA4,PF01465;
Q13443,ADAM9_HUMAN,ADAM9,PF08516;PF00200;PF01562;PF01421;
Q13444,ADA15_HUMAN,ADAM15,PF08516;PF00200;PF01562;PF01421;
Q13445,TMED1_HUMAN,TMED1,PF01105;
Q13449,LSAMP_HUMAN,LSAMP,PF07679;PF13927;
Q13451,FKBP5_HUMAN,FKBP5,PF00254;PF00515;PF13181;
Q13454,TUSC3_HUMAN,TUSC3,PF04756;
Q13459,MYO9B_HUMAN,MYO9B,PF00612;PF00063;PF00788;PF00620;
Q13461,FOXE3_HUMAN,FOXE3,PF00250;
Q13464,ROCK1_HUMAN,ROCK1,PF00069;PF08912;
Q13467,FZD5_HUMAN,FZD5,PF01534;PF01392;
Q13469,NFAC2_HUMAN,NFATC2,PF16179;PF00554;
Q13470,TNK1_HUMAN,TNK1,PF07714;PF22931;
Q13472,TOP3A_HUMAN,TOP3A,PF01131;PF01751;PF01396;PF06839;
Q13477,MADCA_HUMAN,MADCAM1,PF09085;
Q13478,IL18R_HUMAN,IL18R1,PF01582;
Q13480,GAB1_HUMAN,GAB1,PF00169;
Q13485,SMAD4_HUMAN,SMAD4,PF03165;PF03166;
Q13487,SNPC2_HUMAN,SNAPC2,PF11035;
Q13488,VPP3_HUMAN,TCIRG1,PF01496;
Q13489,BIRC3_HUMAN,BIRC3,PF00653;PF21290;PF00619;PF13920;
Q13490,BIRC2_HUMAN,BIRC2,PF00653;PF21290;PF00619;PF13920;
